iter	TotalF1	MultiClass
814	0.8906984847	0.744256685
815	0.8908777724	0.7435805169
816	0.8906373249	0.7425736895
817	0.8906276297	0.7423015827
818	0.89130714	0.741898112
819	0.8912245432	0.7415706963
820	0.8913891322	0.7414311839
821	0.891542375	0.7409088712
822	0.8918056437	0.7404444909
823	0.8925740182	0.73967113
824	0.8927478258	0.7393221348
825	0.8929912552	0.7390332576
826	0.8930721435	0.7387137152
827	0.8933233215	0.7383443647
828	0.8937517798	0.7372744279
829	0.8944367282	0.736414744
830	0.8943532375	0.7360542179
831	0.8945184599	0.7358282902
832	0.8950266102	0.7355948681
833	0.8947708698	0.7352998709
834	0.8948497957	0.7345859671
835	0.894868728	0.7338367583
836	0.8952108235	0.7331801755
837	0.895738042	0.7322861866
838	0.896929036	0.7313303392
839	0.8968447902	0.7311043499
840	0.8972631992	0.7307817801
841	0.8976059206	0.7299156435
842	0.8977685669	0.7296369027
843	0.898709915	0.728512034
844	0.8985502138	0.7281941788
845	0.8986334731	0.7280282765
846	0.8989782441	0.7269660235
847	0.8995115457	0.7262439979
848	0.8994034647	0.7256703929
849	0.8996728105	0.7248082304
850	0.8995076977	0.7236964535
851	0.899856571	0.7233612066
852	0.9000331162	0.7224384378
853	0.9011409289	0.7217350481
854	0.9009781537	0.7213955788
855	0.9007205654	0.7203816901
856	0.9006452897	0.7201762675
857	0.9010700088	0.719909056
858	0.9014986431	0.7190161647
859	0.9019110637	0.7181579454
860	0.9024198083	0.7172705544
861	0.9022466259	0.7162052097
862	0.9019897683	0.7158679578
863	0.9018166309	0.7156007951
864	0.9024210223	0.7149918358
865	0.9026786306	0.7142316186
866	0.9034393644	0.7138894515
867	0.9030995575	0.7136259999
868	0.9034353215	0.7128566886
869	0.9035249705	0.7123484046
870	0.9043807784	0.7116001027
871	0.9041266096	0.7109690287
872	0.9038732485	0.7103055933
873	0.9038673316	0.7099660248
874	0.9047409269	0.7090453095
875	0.9052370011	0.7087816758
876	0.9054159309	0.7083832871
877	0.9056819128	0.7076433128
878	0.9055986698	0.7066995033
879	0.9053505073	0.7063794824
880	0.9060259406	0.7054411739
881	0.906024858	0.7050944307
882	0.9061092296	0.7043900239
883	0.9062139775	0.7035969105
884	0.9063829648	0.7030556913
885	0.9064704129	0.7028391494
886	0.9066190171	0.7016470518
887	0.9069658919	0.7009590419
888	0.9073816795	0.700726054
889	0.9068705085	0.7001716016
890	0.9078929843	0.6999079626
891	0.9082428268	0.6995628342
892	0.9087549874	0.69845497
893	0.9087555699	0.6981551337
894	0.9089270355	0.6978061937
895	0.9091924511	0.6971584895
896	0.9091068213	0.6969240978
897	0.9091939036	0.6959508404
898	0.9091085593	0.6957810961
899	0.9095328267	0.6956158877
900	0.9096283995	0.6948234095
901	0.9102194902	0.6946162462
902	0.9104821405	0.6939242651
903	0.9113364683	0.6930704775
904	0.9112465458	0.692830575
905	0.9114950216	0.692596339
906	0.9116634833	0.6917783751
